Net,Sta,Lat,Lon,Elev,Start,End
IV,RM21,42.6278 N,13.1416 E,1454,2009,2010
IV,RM22,42.4445 N,13.0488 E,970,2009,2009
IV,RM23,42.5797 N,13.0316 E,942,2009,2009
IV,RM24,42.1710 N,13.4724 E,1565,2009,2009
IV,RM25,42.6223 N,13.2815 E,976,2009,2009
IV,RM26,42.4569 N,13.3563 E,1404,2009,2010
IV,RM27,42.3018 N,13.6799 E,947,2009,2009
IV,RM28,42.4024 N,13.5486 E,1482,2009,2009
IV,RM29,42.5606 N,13.2023 E,1276,2009,2011
IV,RM30,42.5332 N,13.0931 E,885,2009,2010
IV,RM31,42.7023 N,13.2331 E,1034,2009,2010
IV,RM32,42.5702 N,13.2932 E,1362,2009,2013
IV,RM33,42.5090 N,13.2145 E,1097,2010,
IV,RMP,41.8111 N,12.7022 E,380,2009,
IV,RNI2,41.7033 N,14.1524 E,950,2003,
IV,ROM9,41.8284 N,12.5155 E,110,2003,
IV,ROVR,45.6468 N,11.0721 E,1316,2008,
IV,RSM,43.9303 N,12.4497 E,645,2003,2011
IV,RSM2,43.9377 N,12.4451 E,645,2012,
IV,RUFI,43.8380 N,11.5095 E,243,2012,
IV,RVI2,41.6198 N,14.0198 E,990,2000,2002
IV,SACR,41.3974 N,14.7057 E,859,2004,
IV,SACS,42.8491 N,11.9097 E,845,2004,
IV,SALB,39.8772 N,16.3459 E,1200,2009,
IV,SALO,45.6183 N,10.5243 E,600,2005,
IV,SAMA,41.7805 N,12.5923 E,119,2009,
IV,SANR,45.6400 N,11.6099 E,51,2012,
IV,SARZ,44.8673 N,8.9136 E,266,2015,
IV,SASS,43.2580 N,10.6898 E,438,2010,2011
IV,SBPO,45.0511 N,10.9199 E,10,2005,
IV,SCHR,40.1992 N,16.0759 E,968,2003,
IV,SCTE,40.0724 N,18.4675 E,150,2006,
IV,SDI,41.7100 N,13.8107 E,698,2003,2011
IV,SEF1,43.1468 N,12.9476 E,518,2011,
IV,SEI,44.0543 N,11.3585 E,610,2003,
IV,SENI,43.7052 N,13.2331 E,10,2008,
IV,SERM,45.0100 N,11.2958 E,7,2012,
IV,SERS,39.0359 N,16.6886 E,1221,2005,
IV,SEST,46.7493 N,12.2165 E,1729,2003,2009
IV,SFI,43.9048 N,11.8470 E,548,2003,
IV,SGG,41.3867 N,14.3792 E,880,2005,
IV,SGO,40.5605 N,15.3074 E,651,2003,2011
IV,SGRT,41.7546 N,15.7437 E,960,2006,
IV,SGTA,41.1350 N,15.3650 E,890,2006,
IV,SIRI,40.1821 N,15.8675 E,1063,2006,
IV,SLCN,40.3900 N,15.6328 E,986,2003,
IV,SMA1,42.6305 N,13.3353 E,1150,2009,
IV,SMB1,41.3968 N,14.7184 E,819,2000,2002
IV,SN1,37.5476 N,15.3975 E,-2100,2012,
IV,SNAL,40.9254 N,15.2091 E,874,2004,
IV,SNTG,43.2550 N,12.9406 E,650,2003,
IV,SOI,38.0732 N,16.0542 E,305,2003,
IV,SOLUN,38.0919 N,13.5326 E,190,2004,
IV,SPS2,39.2910 N,16.3388 E,620,2014,
IV,SRES,42.2370 N,12.5099 E,410,2013,
IV,SSFR,43.4363 N,12.7822 E,750,2010,
IV,SSM1,43.2288 N,13.1770 E,240,2011,
IV,SSP9,43.5739 N,12.1314 E,324,2010,
IV,SSY,37.1577 N,15.0737 E,600,2004,
IV,STAL,46.2601 N,12.7104 E,625,2010,
IV,STR4,38.7739 N,15.2115 E,86,2003,
IV,T0101,42.3308 N,13.3026 E,850,2009,2009
IV,T0102,42.3967 N,13.3139 E,707,2009,2009
IV,T0103,42.3618 N,13.4245 E,849,2009,2009
